BRAND,PRODUCT,PROCESSOR,RAM,HDD,SSD,GRAPHIC_CARD,DISPLAY,OPERATING_SYSTEM,PRICE,IMAGE
Acer,Acer G3-572 (NH.Q2CSI.001) Notebook (7th Gen Ci5/ 8GB/ 1TB 128GB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 7th Gen,8GB,500GB,NO,4 GB NVIDIA Graphics Card,15.6,Windows 10,130000,https://cdn1.smartprix.com/rx-ix53bMn53-w103-h125/acer-g3-572-nh-q2csi.jpg
Acer,Acer Swift 3 SF315-41-R6J9 (NX.GV7AA.004) Laptop (AMD Ryzen 7/ 8GB/ 512GB SSD/ Win10),AMD Ryzen 7 2700U,8GB,500GB,NO,AMD Radeon Vega 10,15.6,Windows 10,129000,https://cdn1.smartprix.com/rx-i2lQByToW-w103-h125/acer-swift-3-sf315-4.jpg
Acer,Acer Swift 5 SF514-51-706K (NX.GLDAA.002) Laptop (7th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Intel Core i7 7th Gen,8GB,1TB,NO,Intel HD 620,14,Windows 10,121000,https://cdn1.smartprix.com/rx-iO4FYx04R-w103-h125/acer-swift-5-sf514-5.jpg
Acer,Acer Predator Helios 300 (UN.Q5PSI.007) Gaming Laptop (9th Gen Core i7/ 16GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,120000,https://cdn1.smartprix.com/rx-iywkJG79c-w103-h125/acer-predator-helios.jpg
Acer,Acer Predator G9-593 (NH.Q1YSI.006) Notebook (7th Gen Ci7/ 16GB/ 1TB 128GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,256GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,120000,https://cdn1.smartprix.com/rx-iFD0s4gCD-w103-h125/acer-predator-g9-593.jpg
Acer,Acer Helios PH315-52 NH.Q53SI.012 Gaming Laptop (9th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,120000,https://cdn1.smartprix.com/rx-i3JIFjIjW-w103-h125/acer-helios-ph315-52.jpg
Acer,Acer Spin 7 SP714-51 (NX.GKPSI.002) Laptop (7th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Intel Core i7 7th Gen,8GB,1TB,256GB,Intel Integrated HD615,14,Windows 10,120000,https://cdn1.smartprix.com/rx-iiauRmdrx-w103-h125/acer-spin-7-sp714-51.jpg
Acer,Acer Predator Helios 300 (NH.Q5PSI.006) Gaming Laptop (9th Gen Core i7/ 16GB/ 2TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16GB,NO,1TB,6 GB NVIDIA Graphics Card,17.3,Windows 10,115000,https://cdn1.smartprix.com/rx-ivp3X8Ky7-w103-h125/acer-predator-helios.jpg
Acer,Acer ConceptD 5 CN515-51 NX.C4JSI.001 Laptop (8th Gen Core i5/ 16GB/ 1TB SSD/ Win10 Home/ 4GB Graph),Intel Core i5 8th Gen,16GB,NO,128GB,4 GB AMD Graphics Card,15.6,Windows 10,115000,https://cdn1.smartprix.com/rx-i4ZhEgEpZ-w103-h125/acer-conceptd-5-cn51.jpg
Acer,Acer Nitro 7 AN715-51 (NH.Q5HSI.006) Gaming Laptop (9th Gen Core i7/ 8GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,8GB,NO,128GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,109000,https://cdn1.smartprix.com/rx-i5NRyBWWn-w103-h125/acer-nitro-7-an715-5.jpg
Acer,Acer Nitro 5 AN515-51-55WL Notebook (7th Gen Ci5/ 8GB/ 256GB SSD/ Win10),Intel Core i5 7300HQ 7th Gen,8GB,500GB,20GB,4 GB NVIDIA Graphics Card,15.6,Windows 10,107000,https://cdn1.smartprix.com/rx-iqaWvr72I-w103-h125/acer-nitro-5-an515-5.jpg
Acer,Acer ConceptD 5 CN515-51 NX.C4JSI.004 Laptop (8th Gen Core i7/ 16GB/ 1TB SSD/ Win10 Home/ 4GB Graph),Intel Core i7 8th Gen,16GB,NO,128GB,4 GB AMD Graphics Card,15.6,Windows 10,105000,https://cdn1.smartprix.com/rx-iqmFUJhsG-w103-h125/acer-conceptd-5-cn51.jpg
Acer,Acer Predator Helios PH315-51 (NH.Q4HSI.004) Gaming Laptop (8th Gen Ci7/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i7 8th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,105000,https://cdn1.smartprix.com/rx-iZ6YzACc2-w103-h125/acer-predator-helios.jpg
Acer,Acer Aspire VN7-591G (NX.MUYSI.001) Notebook (4th Gen Ci7/ 12GB/ 1TB/ Win8.1/ 4GB Graph),Intel Core i7 4th Gen,12GB,NO,512GB,4 GB NVIDIA Graphics Card,15.6,Windows 8,102000,https://cdn1.smartprix.com/rx-i2KUzWSjG-w103-h125/acer-aspire-vn7-591g.jpg
Acer,Acer G3-572 (NH.Q2BSI.006) Notebook (7th Gen Ci7/ 16GB/ 2TB 256GB SSD/ Win10 Home/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,512GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,102000,https://cdn1.smartprix.com/rx-im85ZmycU-w103-h125/acer-g3-572-nh-q2bsi.jpg
Acer,Acer Predator 17 G9-793 (NH.Q1VSI.002) Notebook (7th Gen Ci7/ 16GB/ 1TB/ Win10/ 6GB Graph),Intel Core i7 7th Gen,16GB,NO,256GB,6 GB NVIDIA Graphics Card,17.3,Windows 10,100000,https://cdn1.smartprix.com/rx-ivTJ0t9Ad-w103-h125/acer-predator-17-g9.jpg
Acer,Acer Aspire V V5-472P Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Win8/ Touch) (NX.MAUSI.002),Intel Core i3,4GB,1TB,NO,Intel HD Graphics 4000,14,Windows 8,100000,https://cdn1.smartprix.com/rx-iZin3V3RN-w103-h125/acer-aspire-v-v5-472.jpg
Acer,Acer Predator G9-593 (NH.Q1YSI.007) Notebook (7th Gen Ci5/ 16GB/ 1TB 128GB SSD/ Win10 Home/ 6GB Graph),Intel Core i5 7th Gen,16GB,500GB,20GB,6 GB  Graphics Card,15.6,Windows 10,99990,https://cdn1.smartprix.com/rx-ilEL2He8G-w103-h125/acer-predator-g9-593.jpg
Acer,Acer G3-572 (NH.Q2BSI.007) Notebook (7th Gen Ci5/ 16GB/ 1TB 128GB SSD/ Win10 Home/ 6GB Graph),Intel Core i5 7th Gen,16GB,500GB,NO,6 GB NVIDIA Graphics Card,15.6,Windows 10,99990,https://cdn1.smartprix.com/rx-imYn9mDGd-w103-h125/acer-g3-572-nh-q2bsi.jpg
Acer,Acer Predator Helios 300 PH315-52 (NH.Q54SI.006) Gaming Laptop (9th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win10/ 6GB Graph),Intel Core i5 9th Gen,16GB,NO,32GB,6 GB NVIDIA Graphics Card,15.6,Windows 10,99990,https://cdn1.smartprix.com/rx-iJgQj0F8u-w103-h125/acer-predator-helios.jpg
